rowid,name,longitude,latitude,description,gx_media_links
46,"Estacado, TX",-101.562037,33.750677,"Wikipedia (http://en.wikipedia.org/wiki/Estacado,_Texas)",
47,"Eureka, CO",-107.565148,37.880066,"Wikipedia (http://en.wikipedia.org/wiki/Eureka,_Colorado)


Wikipedia Commons / Plazak (http://en.wikipedia.org/wiki/User:Plazak)",http://upload.wikimedia.org/wikipedia/commons/3/37/EurekaCO.jpg
48,"Fallis, OK",-97.121667,35.749444,"Wikipedia (http://en.wikipedia.org/wiki/Fallis,_Oklahoma)",
49,"Fayette, MI",-86.668696,45.718256,Wikipedia (http://en.wikipedia.org/wiki/Fayette_Historic_State_Park),
50,"Feltville, NJ",-74.386944,40.681389,Wikipedia (http://en.wikipedia.org/wiki/Feltville_Historic_District),
51,"Flamingo, FL",-80.92676800000001,25.139632000000002,"Wikipedia (http://en.wikipedia.org/wiki/Flamingo,_Florida)",
52,"French Azilum, PA",-76.318,41.736000000000004,Wikipedia (http://en.wikipedia.org/wiki/French_Azilum),
53,"Fricks Locks, PA",-75.596591,40.223075,"Wikipedia (http://en.wikipedia.org/wiki/Frick%27s_Lock,_Pennsylvania)",
54,"Garlock, CA",-117.78851200000001,35.401618,"Wikipedia (http://en.wikipedia.org/wiki/Garlock,_California)",
55,"Griggsville Landing, IL",-90.6475,39.696944,"Wikipedia (http://en.wikipedia.org/wiki/Griggsville_Landing,_Illinois)",
56,"Gold Point, NV",-117.36528,37.353819,"Wikipedia (http://en.wikipedia.org/wiki/Gold_Point,_Nevada)


Wikipedia Commons / Finetooth (http://commons.wikimedia.org/wiki/User:Finetooth)",http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Gold_point_street.jpg/800px-Gold_point_street.jpg
57,"Greenhorn, OR",-118.49666699999999,44.708611,"Wikipedia (http://en.wikipedia.org/wiki/Greenhorn,_Oregon)

Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Greenhorn_7.JPG/800px-Greenhorn_7.JPG
58,"Grafton, UT",-113.08156699999999,37.16752,"Wikipedia (http://en.wikipedia.org/wiki/Grafton,_Utah)


Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Grafton_UT_-_schoolhouse.JPG/800px-Grafton_UT_-_schoolhouse.JPG
59,"Hamburg, MO",-90.731667,38.669722,"Wikipedia (http://en.wikipedia.org/wiki/Hamburg,_Missouri)",
60,"Hampton Springs, FL",-83.66250500000001,30.081468,"Wikipedia (http://en.wikipedia.org/wiki/Hampton_Springs,_Florida)



Wikipedia Commons / Ebyabe (http://commons.wikimedia.org/wiki/User:Ebyabe)",http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Hampton_Springs_FL_hotel03.jpg/800px-Hampton_Springs_FL_hotel03.jpg
61,Hindostan Falls,-86.85030400000001,38.624099,"Wikipedia (http://en.wikipedia.org/wiki/Hindostan_Falls,_Indiana)",
62,"Holmesville, MS",-90.308611,31.203611,"Wikipedia (http://en.wikipedia.org/wiki/Holmesville,_Mississippi)",
63,"Horse Heaven, OR",-120.507222,44.715556,"Wikipedia (http://en.wikipedia.org/wiki/Horse_Heaven,_Oregon)",
64,"Huot, MN",-96.423333,47.865278,"Wikipedia (http://en.wikipedia.org/wiki/Huot,_Minnesota)",
65,"Independence, CO",-106.605278,39.106389,"Wikipedia

Wikipedia Commons / Jeffrey Beall (http://commons.wikimedia.org/wiki/User:Denverjeffrey)",http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Independence%2C_Colorado.JPG/800px-Independence%2C_Colorado.JPG
66,"Indian Key, FL",-80.677285,24.878845000000002,"Wikipedia (http://en.wikipedia.org/wiki/Indian_Key,_Florida)",
67,"Jamestown, VA",-76.77429000000001,37.207688,"Wikipedia (http://en.wikipedia.org/wiki/Jamestown,_Virginia)",
68,"Jerome, AZ",-112.113772,34.748911,"Wikipedia (http://en.wikipedia.org/wiki/Jerome,_AZ)

Public Domain",http://upload.wikimedia.org/wikipedia/commons/b/bc/Connor_hotel%2C_1899.jpg
69,"Kalapana, HI",-154.985322,19.350607,"Wikipedia (http://en.wikipedia.org/wiki/Kalapana,_Hawaii)",
70,"Kapoho, HI",-154.846033,19.502733,"Wikipedia (http://en.wikipedia.org/wiki/Kapoho,_Hawaii)",
71,"Kaskaskia, IL",-89.916467,37.921395000000004,"Wikipedia (http://en.wikipedia.org/wiki/Kaskaskia,_Illinois)",
72,"Kelso, CA",-115.64945,35.014726,"Wikipedia (http://en.wikipedia.org/wiki/Kelso,_California)

Wikipedia Commons / Pierre Camateros (http://commons.wikimedia.org/wiki/User:PieCam)",http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Kelso_Post_Office.jpg/800px-Kelso_Post_Office.jpg
73,"Kennecott, AK",-142.888611,61.486111,"Wikipedia (http://en.wikipedia.org/wiki/Kennicott,_Alaska)




Wikipedia Commons / Sewtex (http://en.wikipedia.org/wiki/User:Sewtex)",http://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Kennicott8.jpg/250px-Kennicott8.jpg
74,"Klondyke, AZ",-110.332222,32.835278,"Wikipedia (http://en.wikipedia.org/wiki/Klondyke,_Arizona)


Public Domain",http://upload.wikimedia.org/wikipedia/en/8/87/Klondyke_Arizona_General_Store_1910.jpg
75,"Laquin, PA",-76.65083299999999,41.632222,"Wikipedia (http://en.wikipedia.org/wiki/Laquin,_Pennsylvania)",
76,"Leadfield, CA",-117.060608,36.848366999999996,"Wikipedia (http://en.wikipedia.org/wiki/Leadfield,_California)


Public Domain",http://upload.wikimedia.org/wikipedia/commons/b/b4/Leadfield_Building_1.jpg
